binary_accuracy,dice_coef,iou,loss,precision,recall,val_binary_accuracy,val_dice_coef,val_iou,val_loss,val_precision,val_recall,learning_rate
0.9654021263122559,0.3821784555912018,0.23623140156269073,0.7147660851478577,0.23639735579490662,0.9970284700393677,0.9912679195404053,0.7137995958328247,0.554967999458313,0.596174955368042,0.5589175224304199,0.987427294254303,9.999999747378752e-05
0.9919192790985107,0.725680410861969,0.5694639682769775,0.5145947337150574,0.5708267688751221,0.9958226680755615,0.9950379133224487,0.8126722574234009,0.684455156326294,0.4244626462459564,0.6961361765861511,0.9760711193084717,9.999999747378752e-05
0.9961031079292297,0.8452344536781311,0.731952428817749,0.29937034845352173,0.7364834547042847,0.991661548614502,0.9969672560691833,0.8742684125900269,0.7766217589378357,0.2233545184135437,0.8052434325218201,0.956235408782959,9.999999747378752e-05
0.9976333379745483,0.8995692133903503,0.8174700736999512,0.1301896870136261,0.8259293437004089,0.9876248240470886,0.9973041415214539,0.8859354257583618,0.7952283024787903,0.18565136194229126,0.8304941058158875,0.9493087530136108,9.999999747378752e-05
0.9980206489562988,0.9145579934120178,0.8425648808479309,0.08050402253866196,0.8515649437904358,0.9876120686531067,0.9973776936531067,0.8887370824813843,0.799754798412323,0.1813102662563324,0.8352382183074951,0.9495593905448914,9.999999747378752e-05
0.9981966018676758,0.9217742681503296,0.8548991680145264,0.06617077440023422,0.8633049726486206,0.988740086555481,0.9977044463157654,0.9002655744552612,0.818619966506958,0.2047879844903946,0.8641843795776367,0.9394897222518921,9.999999747378752e-05
0.9983075857162476,0.9261276125907898,0.862419068813324,0.0603642575442791,0.870301365852356,0.9896070957183838,0.9980121850967407,0.9102599620819092,0.8353004455566406,0.2890237271785736,0.9062941670417786,0.9142610430717468,9.999999747378752e-05
0.9983853697776794,0.9294634461402893,0.8682224154472351,0.0567728653550148,0.8756521344184875,0.9903250336647034,0.9975517988204956,0.8948333263397217,0.8096827268600464,0.19619345664978027,0.8499892950057983,0.944674015045166,9.999999747378752e-05
0.9984545111656189,0.9322623014450073,0.8731212615966797,0.05395698547363281,0.8802185654640198,0.9908472895622253,0.9974165558815002,0.8904225826263428,0.8024871945381165,0.19116146862506866,0.8365241885185242,0.9517437219619751,9.999999747378752e-05
0.9986180663108826,0.9390143752098083,0.8850390911102295,0.04781385138630867,0.8913028836250305,0.9921211004257202,0.9979811310768127,0.9101641774177551,0.8351390957832336,0.2662774920463562,0.8935201168060303,0.9274404644966125,2.499999936844688e-05
0.9986779093742371,0.9415673613548279,0.8895822763442993,0.0453912727534771,0.8955065608024597,0.9926179647445679,0.9979099631309509,0.9076772928237915,0.8309604525566101,0.2461923062801361,0.885077178478241,0.9314614534378052,4.999999873689376e-05
0.9987133145332336,0.943131685256958,0.8923822641372681,0.04391411319375038,0.8980919122695923,0.9929269552230835,0.9979249238967896,0.9081025123596191,0.8316735029220581,0.25388047099113464,0.8876456618309021,0.9295242428779602,4.999999873689376e-05
0.9987448453903198,0.9443979263305664,0.8946539759635925,0.04276209697127342,0.9002056121826172,0.9931530952453613,0.9978846907615662,0.9068389534950256,0.8295572996139526,0.25014635920524597,0.8817874789237976,0.9333564043045044,4.999999873689376e-05
0.9987727999687195,0.945523738861084,0.8966739773750305,0.04176045581698418,0.9021025896072388,0.9933326244354248,0.9975844025611877,0.8963192105293274,0.8121182918548584,0.22567474842071533,0.8507909774780273,0.9469958543777466,4.999999873689376e-05
0.9987954497337341,0.9465512633323669,0.8985285758972168,0.040746208280324936,0.9037988781929016,0.9935500025749207,0.9979318380355835,0.9084345698356628,0.8322315216064453,0.2681659162044525,0.8875064849853516,0.9303741455078125,2.499999936844688e-05
0.9988193511962891,0.9474917054176331,0.9002218842506409,0.04002755507826805,0.9054052233695984,0.9936808943748474,0.9980688691139221,0.9129405617713928,0.8398242592811584,0.3144911825656891,0.9073676466941833,0.9185807108879089,4.999999873689376e-05
0.9988371133804321,0.9482569098472595,0.9016036987304688,0.03935947269201279,0.9066982269287109,0.9938104152679443,0.9979990720748901,0.9104548096656799,0.8356277346611023,0.30338990688323975,0.8986508846282959,0.9225722551345825,4.999999873689376e-05
0.9988546371459961,0.9490678906440735,0.9030699729919434,0.03869422897696495,0.9080686569213867,0.9939428567886353,0.9980795383453369,0.9129168391227722,0.8397850394248962,0.34624359011650085,0.9129621982574463,0.9128707647323608,4.999999873689376e-05
0.9988709688186646,0.9497339725494385,0.9042817950248718,0.03809444606304169,0.9092044830322266,0.994049608707428,0.998023271560669,0.9113631844520569,0.8371609449386597,0.31503626704216003,0.9014820456504822,0.9214645028114319,4.999999873689376e-05
0.9989253282546997,0.9520422220230103,0.9084728956222534,0.03620404377579689,0.9130890965461731,0.994465172290802,0.9979978799819946,0.9106428623199463,0.8359458446502686,0.30896472930908203,0.8966435194015503,0.925087034702301,1.249999968422344e-05
