binary_accuracy,dice_coef,iou,loss,precision,recall,val_binary_accuracy,val_dice_coef,val_iou,val_loss,val_precision,val_recall,learning_rate
0.9244709610939026,0.20673629641532898,0.11528497189283371,0.8029401302337646,0.1153724417090416,0.99347323179245,0.9900335669517517,0.6682002544403076,0.501727283000946,0.7437760233879089,0.5047667622566223,0.9881407022476196,9.999999747378752e-05
0.9769420027732849,0.46071657538414,0.29930588603019714,0.7195245623588562,0.29982948303222656,0.9941995739936829,0.9890986680984497,0.6491593718528748,0.4805595576763153,0.6709470152854919,0.4821794033050537,0.993057906627655,9.999999747378752e-05
0.9869498610496521,0.6016066670417786,0.43021273612976074,0.6529553532600403,0.43122777342796326,0.994558572769165,0.9818494915962219,0.5277003645896912,0.35841912031173706,0.6292970776557922,0.3586188852787018,0.9984481334686279,9.999999747378752e-05
0.9908100366592407,0.6821794509887695,0.5176573395729065,0.593021035194397,0.5188444256782532,0.9955995082855225,0.9920557737350464,0.7180662751197815,0.5601430535316467,0.5608360767364502,0.5613662004470825,0.9961251020431519,9.999999747378752e-05
0.9913175106048584,0.6942455768585205,0.5316815972328186,0.5441735982894897,0.5331128835678101,0.994975745677948,0.9916767477989197,0.708915114402771,0.5490848422050476,0.5140974521636963,0.5497100949287415,0.9979327321052551,9.999999747378752e-05
0.993521511554718,0.7526743412017822,0.6034305095672607,0.49387022852897644,0.6051695942878723,0.9952602386474609,0.9946008920669556,0.7894059419631958,0.6520814299583435,0.46512487530708313,0.6535857319831848,0.996482789516449,9.999999747378752e-05
0.9946896433830261,0.7877709865570068,0.6498532295227051,0.44450318813323975,0.6519827842712402,0.9949989318847656,0.9956411719322205,0.8226285576820374,0.6986992955207825,0.41611093282699585,0.7009196281433105,0.9954866766929626,9.999999747378752e-05
0.9952903985977173,0.8069756627082825,0.6764117479324341,0.3949635922908783,0.6792648434638977,0.9938287734985352,0.9963816404342651,0.8480098247528076,0.7361259460449219,0.3655640780925751,0.7395167350769043,0.9938097596168518,9.999999747378752e-05
0.9962404370307922,0.8396087884902954,0.7235566973686218,0.34275567531585693,0.7271226644515991,0.9932675957679749,0.9971558451652527,0.8762482404708862,0.7797525525093079,0.3156881332397461,0.7850456833839417,0.9914271831512451,9.999999747378752e-05
0.9970964193344116,0.8714860081672668,0.7722421288490295,0.30208176374435425,0.7760352492332458,0.993710458278656,0.9969539642333984,0.8690930604934692,0.7684921622276306,0.29059770703315735,0.7711825370788574,0.9954808950424194,4.999999873689376e-05
0.9974144101142883,0.8839089870452881,0.7919685244560242,0.2757532298564911,0.7959754467010498,0.9936838150024414,0.9973026514053345,0.882135272026062,0.7891252636909485,0.26751846075057983,0.7929546236991882,0.9939174652099609,4.999999873689376e-05
0.9976170659065247,0.8919731974601746,0.8050104975700378,0.25324416160583496,0.8093517422676086,0.9933810234069824,0.9976062178611755,0.8938250541687012,0.8080323338508606,0.24803535640239716,0.8132920861244202,0.9920598268508911,4.999999873689376e-05
0.9977620840072632,0.8978354334831238,0.8146110773086548,0.2344445288181305,0.8192304968833923,0.9931256175041199,0.9976719617843628,0.8963955640792847,0.8122435212135315,0.23185306787490845,0.817965030670166,0.9914617538452148,4.999999873689376e-05
0.9978892207145691,0.9030714631080627,0.8232728242874146,0.2203015238046646,0.8281925320625305,0.9928361773490906,0.997423529624939,0.8868539333343506,0.796709418296814,0.21841101348400116,0.8002228140830994,0.9945193529129028,4.999999873689376e-05
0.9979478716850281,0.9054838418960571,0.8272913694381714,0.20107483863830566,0.8324889540672302,0.9925097227096558,0.9978483319282532,0.9035287499427795,0.8240332007408142,0.20339879393577576,0.8296035528182983,0.9919175505638123,4.999999873689376e-05
0.9980670809745789,0.9105050563812256,0.8357129693031311,0.18657316267490387,0.8410402536392212,0.9924776554107666,0.9977307319641113,0.8988744616508484,0.8163232803344727,0.19387158751487732,0.8209874629974365,0.9930886626243591,4.999999873689376e-05
0.9981120228767395,0.9124010801315308,0.8389132618904114,0.18308734893798828,0.844355046749115,0.9923760890960693,0.9982849359512329,0.9211276173591614,0.853787362575531,0.18773090839385986,0.8641490936279297,0.9861503839492798,4.999999873689376e-05
